"No.","Time","Source","Destination","Protocol","Length","Info"
"2200","4.753579763","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ATTITUDE_QUATERNION"
"2201","4.753588403","10.76.105.1","10.244.105.1","MAVLink 2.0","139","HIGHRES_IMU"
"2202","4.753595704","10.76.105.1","10.244.105.1","MAVLink 2.0","90","SERVO_OUTPUT_RAW"
"2203","4.753602789","10.76.105.1","10.244.105.1","MAVLink 2.0","95","VFR_HUD"
"2204","4.757391646","10.76.105.1","10.244.105.1","MAVLink 2.0","310","ODOMETRY"
"2205","4.757411050","10.76.105.1","10.244.105.1","MAVLink 2.0","118","ACTUATOR_CONTROL_TARGET"
"2206","4.762528436","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=215 Ack=104814 Win=9617 Len=0 TSval=2474327760 TSecr=519151297"
"2207","4.776171935","10.76.105.1","10.244.105.1","MAVLink 2.0","106","ATTITUDE"
"2208","4.776203430","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ATTITUDE_QUATERNION"
"2209","4.776211664","10.76.105.1","10.244.105.1","MAVLink 2.0","140","HIGHRES_IMU"
"2210","4.776218552","10.76.105.1","10.244.105.1","MAVLink 2.0","120","RC_CHANNELS"
"2211","4.776331502","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=215 Ack=105026 Win=9617 Len=0 TSval=2474327774 TSecr=519151317"
"2212","4.785418163","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ATTITUDE_TARGET"
"2213","4.785445758","10.76.105.1","10.244.105.1","MAVLink 2.0","102","SCALED_IMU"
"2214","4.790839522","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=215 Ack=105106 Win=9617 Len=0 TSval=2474327788 TSecr=519151325"
"2215","4.804578771","10.76.105.1","10.244.105.1","MAVLink 2.0","310","ODOMETRY"
"2216","4.804635128","10.76.105.1","10.244.105.1","MAVLink 2.0","118","ACTUATOR_CONTROL_TARGET"
"2217","4.804657204","10.76.105.1","10.244.105.1","MAVLink 2.0","106","ATTITUDE"
"2218","4.804675176","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ATTITUDE_QUATERNION"
"2219","4.804693139","10.76.105.1","10.244.105.1","MAVLink 2.0","140","HIGHRES_IMU"
"2220","4.804710777","10.76.105.1","10.244.105.1","MAVLink 2.0","99","SERVO_OUTPUT_RAW"
"2221","4.804728702","10.76.105.1","10.244.105.1","MAVLink 2.0","79","MISSION_CURRENT"
"2222","4.804747417","10.76.105.1","10.244.105.1","MAVLink 2.0","90","SERVO_OUTPUT_RAW"
"2223","4.804909005","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=215 Ack=105630 Win=9617 Len=0 TSval=2474327803 TSecr=519151338"
"2224","4.804904123","10.76.105.1","10.244.105.1","MAVLink 2.0","95","VFR_HUD"
"2225","4.813352096","10.76.105.1","10.244.105.1","MAVLink 2.0","106","ATTITUDE"
"2226","4.813387710","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ATTITUDE_QUATERNION"
"2227","4.813397344","10.76.105.1","10.244.105.1","MAVLink 2.0","139","HIGHRES_IMU"
"2228","4.813465050","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=215 Ack=105816 Win=9617 Len=0 TSval=2474327811 TSecr=519151348"
"2229","4.822385341","10.76.105.1","10.244.105.1","MAVLink 2.0","102","SCALED_IMU"
